Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,0,0,0,0
12,1,1,1,1,1
13,0,0,0,0,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,0,0,0,0
21,1,1,1,1,1
22,0,0,0,0,0
23,1,1,1,1,1
24,1,1,0,0,0
25,1,0,0,0,0
26,1,1,0,0,0
27,0,0,0,0,0
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,0,0,0
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,1,1,1,1,1
41,1,1,1,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,1,1,0,0,0
46,1,1,1,1,1
47,1,1,0,0,0
48,1,1,1,1,1
49,1,1,0,0,0
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,1,1,1,1,1
58,1,1,1,1,1
59,1,1,1,1,1
60,1,0,0,0,0
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,0
65,1,1,1,1,1
66,1,1,1,1,1
67,1,1,1,1,1
68,1,0,0,0,0
69,1,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,0,0,0
77,1,1,1,1,1
78,1,1,0,0,0
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,0,0
83,1,1,1,1,1
84,1,1,1,1,1
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,1,1,1,1,1
91,0,0,0,0,0
92,1,1,1,1,1
93,1,1,0,0,0
94,1,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,0,0,0,0
98,1,1,1,0,0
99,1,1,0,0,0
100,1,1,1,1,1
101,1,1,1,1,1
102,1,0,0,0,0
103,1,1,1,1,1
104,1,1,1,0,0
105,1,0,0,0,0
106,1,1,0,0,0
107,1,1,1,1,1
108,1,0,0,0,0
109,1,1,1,1,1
110,1,1,1,1,0
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,0,0,0,0
117,1,1,1,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,1,1,1,1,1
128,0,0,0,0,0
129,1,1,1,1,1
130,1,0,0,0,0
131,1,1,1,1,1
132,1,0,0,0,0
133,1,0,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,1,0,0,0,0
137,1,1,1,1,1
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,1,0,0,0,0
142,1,1,0,0,0
143,1,0,0,0,0
144,1,1,1,1,1
145,1,1,1,1,1
146,1,1,1,1,1
147,1,1,1,1,1
148,1,1,1,1,1
149,1,1,1,1,1
150,1,1,1,1,1
151,1,1,1,1,1
152,1,1,1,1,1
153,1,1,1,0,0
154,1,0,0,0,0
155,1,1,1,1,1
156,1,1,1,1,1
157,1,1,1,1,1
158,1,1,1,1,1
159,1,1,1,1,1
160,1,1,1,1,1
161,1,1,1,1,1
162,1,0,0,0,0
163,1,1,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,1,1
167,0,0,0,0,0
168,1,0,0,0,0
169,1,0,0,0,0
170,1,1,1,1,1
171,1,1,1,1,1
172,1,1,1,1,1
173,1,0,0,0,0
174,1,1,1,1,1
175,1,1,1,1,1
176,1,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,1,1,0,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,1,1,1,1,1
185,1,1,1,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,1,1
189,1,1,1,1,1
190,0,0,0,0,0
191,1,1,1,1,1
192,1,1,0,0,0
193,1,1,1,1,1
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,1,1
197,1,1,1,1,1
198,1,1,1,1,1
199,1,0,0,0,0
200,1,1,1,1,1
