QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,1,1,5,0
2,1,1,1,1,0,4,1
3,1,1,1,0,0,3,1
4,1,0,0,0,0,1,1
5,1,0,1,1,1,1,2
6,0,1,1,0,0,0,2
7,1,1,0,1,1,2,2
8,0,1,0,1,1,0,3
9,0,1,0,0,0,0,2
10,1,0,1,0,0,1,3
11,0,1,0,0,1,0,3
12,0,0,1,0,0,0,2
13,1,1,1,1,1,5,0
14,1,0,0,0,1,1,2
15,0,1,1,0,1,0,3
16,0,0,1,0,0,0,2
17,1,1,1,1,1,5,0
18,0,0,1,0,0,0,2
19,0,0,0,0,0,0,0
20,0,1,1,0,0,0,2
21,0,1,1,1,0,0,2
22,1,0,0,0,0,1,1
23,1,1,1,1,1,5,0
24,1,1,1,0,1,3,2
25,0,1,1,1,0,0,2
26,1,1,1,1,1,5,0
27,0,1,1,0,1,0,3
28,0,1,1,0,1,0,3
29,0,0,0,1,1,0,1
30,1,0,1,0,1,1,4
31,0,0,0,0,0,0,0
32,1,1,1,1,0,4,1
33,0,0,0,0,0,0,0
34,0,0,1,0,1,0,3
35,1,0,1,0,0,1,3
36,1,0,1,1,0,1,3
37,1,1,0,0,0,2,1
38,0,0,0,0,0,0,0
39,0,0,1,0,0,0,2
40,1,0,1,0,0,1,3
41,0,0,1,0,0,0,2
42,0,1,0,0,0,0,2
43,1,0,1,1,1,1,2
44,1,0,1,0,0,1,3
45,0,0,0,0,0,0,0
46,1,1,1,1,1,5,0
47,0,0,1,1,1,0,1
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,1,0,0,0,2
51,1,0,0,1,0,1,3
52,1,1,1,1,1,5,0
53,0,0,0,0,0,0,0
54,1,0,0,0,0,1,1
55,1,0,0,0,0,1,1
56,1,1,1,1,1,5,0
57,1,0,0,0,1,1,2
58,1,1,1,1,0,4,1
59,0,0,0,0,0,0,0
60,1,1,1,0,1,3,2
61,1,0,0,0,0,1,1
62,1,0,0,0,0,1,1
63,0,1,1,1,0,0,2
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,1,1,0,1,1,2,2
67,1,1,1,1,1,5,0
68,0,1,0,0,0,0,2
69,1,0,1,0,1,1,4
70,1,0,0,0,0,1,1
71,0,0,0,0,0,0,0
