QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,1,1,5,0
2,1,1,1,1,0,4,1
3,1,1,1,0,0,3,1
4,1,0,1,1,0,1,3
5,1,0,1,1,1,1,2
6,0,0,0,0,0,0,0
7,1,1,0,1,1,2,2
8,0,1,0,0,1,0,3
9,0,1,0,0,0,0,2
10,1,0,1,0,0,1,3
11,0,0,0,1,1,0,1
12,0,0,1,0,0,0,2
13,1,0,1,1,1,1,2
14,1,0,0,0,0,1,1
15,1,1,1,0,1,3,2
16,0,0,1,0,0,0,2
17,1,1,1,1,1,5,0
18,0,1,1,0,0,0,2
19,0,0,0,0,0,0,0
20,0,1,1,0,0,0,2
21,1,1,1,1,1,5,0
22,1,1,0,0,1,2,2
23,1,1,1,1,1,5,0
24,1,1,1,0,1,3,2
25,1,1,1,0,1,3,2
26,1,0,0,1,0,1,3
27,1,1,1,1,1,5,0
28,1,1,1,0,1,3,2
29,0,1,0,1,0,0,4
30,1,0,1,1,0,1,3
31,0,0,0,0,0,0,0
32,1,1,1,1,0,4,1
33,1,0,0,0,0,1,1
34,1,0,0,0,1,1,2
35,1,0,1,0,0,1,3
36,1,0,1,0,0,1,3
37,1,0,0,0,0,1,1
38,0,0,0,0,0,0,0
39,0,0,1,0,0,0,2
40,1,0,1,0,0,1,3
41,0,0,0,0,1,0,1
42,0,1,0,0,0,0,2
43,1,0,1,1,0,1,3
44,1,0,1,0,0,1,3
45,0,0,0,0,0,0,0
46,1,1,1,0,1,3,2
47,0,0,0,1,1,0,1
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,1,0,0,0,2
51,1,0,0,1,0,1,3
52,1,1,1,1,1,5,0
53,0,0,0,0,0,0,0
54,1,0,0,0,0,1,1
55,1,0,0,0,0,1,1
56,1,1,1,1,1,5,0
57,1,0,1,0,0,1,3
58,1,0,1,0,0,1,3
59,0,0,0,0,0,0,0
60,1,1,1,0,1,3,2
61,1,0,0,0,0,1,1
62,1,0,1,0,0,1,3
63,1,1,1,1,0,4,1
64,1,1,0,0,0,2,1
65,0,0,0,0,0,0,0
66,1,1,0,1,1,2,2
67,1,1,1,1,1,5,0
68,0,0,0,1,0,0,2
69,0,1,1,0,1,0,3
70,1,0,0,0,0,1,1
71,0,0,0,0,0,0,0
